master_term,master_term_id,yearmo,month_no,skill_pos_cnt,total_pos_cnt,loop_no
Risk Analyst,192,201603,27,438,100182,76
Stata,214,201505,17,2,88049,88
VBScript,149,201411,11,130,77278,62
Django,71,201806,54,42,122500,34
SketchUp Pro,230,201804,52,48,119002,91
AEM Developer,266,201704,40,6,104890,104
Minitab,156,201902,62,199,107087,65
QuickBooks,109,201808,56,58,149917,49
Golang,91,201502,14,0,89734,43
AWS Cloud,34,201902,62,735,107087,14
Django,71,201602,26,6,87681,34
NetSuite ERP,161,201702,38,13,92181,67
Business Intelligence,41,201808,56,989,149917,19
Risk Analyst,192,201801,49,455,115683,76
Stata,214,201702,38,41,92181,88
Risk Analyst,192,201605,29,393,89037,76
Visual Basic,238,201904,64,793,132847,93
Internal Auditor,108,201803,51,45,121459,48
NetSuite ERP,161,201804,52,22,119002,67
erwin,80,201803,51,20,121459,38
Fireworks,8,201901,61,10,122037,5
GIS Software,89,201406,6,1,32800,42
Delphi Technology,68,201604,28,8,91296,32
Delphi Technology,68,201505,17,4,88049,32
Top Secret Security Clearance,274,201406,6,0,32800,106
Spring Boot,211,201608,32,10,104211,87
Crystal Reports,65,201607,31,18,88166,30
Network Support,163,201501,13,292,93237,68
WildFly,190,201809,57,205,114604,75
Azure,251,201702,38,578,92181,99
Typescript,260,201606,30,36,98515,102
SQL Server Reporting Services,148,201804,52,299,119002,61
MySQL,158,201804,52,589,119002,66
NetSuite ERP,161,201701,37,8,93237,67
QuickBooks,109,201409,9,50,104405,49
External Auditor,83,201412,12,33,63051,39
Dodd-Frank,72,201405,5,2,31909,35
T-SQL,232,201710,46,52,128582,92
EnterpriseOne,171,201903,63,2,123132,71
InfoSphere DataStage,102,201404,4,22,33323,45
Cognos Impromptu,100,201402,2,0,27637,44
MicroStrategy,153,201712,48,28,76994,63
NoSQL,165,201701,37,307,93237,69
Dynamics,138,201903,63,3347,123132,58
Solr,22,201710,46,82,128582,9
Workforce Now,13,201811,59,5,111219,6
IBM Notes,103,201902,62,0,107087,46
VBScript,149,201501,13,77,93237,62
SketchUp Pro,230,201702,38,29,92181,91
ASP.NET,28,201512,24,549,70310,10
Linux Scripting,127,201401,1,3,33846,55
Web Security and Encryption,242,201506,18,32,99253,96
Security Policies and Procedures,202,201707,43,91,101309,82
SketchUp Pro,230,201701,37,56,93237,91
Apache HTTP Server,20,201509,21,1,93766,8
Deployment,69,201907,67,371,26524,33
Visual Basic,238,201608,32,856,104211,93
Certified Credit Professional,44,201505,17,41,88049,22
Azure,251,201602,26,766,87681,99
SQL Server Reporting Services,148,201505,17,159,88049,61
Fireworks,8,201607,31,18,88166,5
Secret Security Clearance,276,201905,65,22,140823,107
Agile Development,14,201806,54,1004,122500,7
Secret Security Clearance,276,201401,1,11,33846,107
Workforce Now,13,201810,58,7,138853,6
Mergers and Acquisitions,135,201508,20,60,94594,57
Delphi Technology,68,201405,5,18,31909,32
Linux Scripting,127,201511,23,3,89588,55
Delphi Technology,68,201905,65,57,140823,32
Django,71,201901,61,105,122037,34
Epic Systems,79,201510,22,290,98076,37
Outlook,142,201409,9,3379,104405,59
Delphi Technology,68,201606,30,10,98515,32
Cognos Impromptu,100,201704,40,0,104890,44
Augmented Reality,30,201510,22,11,98076,11
Cognos Impromptu,100,201806,54,1,122500,44
Computer Aided Design and Drafting,61,201803,51,135,121459,27
Apache HTTP Server,20,201904,64,1,132847,8
Cognos Impromptu,100,201507,19,40,97791,44
Dodd-Frank,72,201608,32,20,104211,35
Stata,214,201410,10,0,106289,88
CATIA,42,201406,6,31,32800,20
ActiveX,2,201806,54,22,122500,1
Security Risk Management,203,201507,19,2,97791,83
Online Analytical Processing,166,201604,28,114,91296,70
XHTML,246,201410,10,220,106289,97
Natural Language Processing,270,201711,47,6,102152,105
Business Intelligence,41,201602,26,833,87681,19
AEM Developer,266,201612,36,12,62773,104
Linux  ,126,201806,54,2744,122500,54
Workforce Now,13,201805,53,9,124699,6
Selenium,205,201802,50,197,109017,85
Workforce Now,13,201509,21,2,93766,6
VOIP,240,201506,18,302,99253,94
EnterpriseOne,171,201412,12,0,63051,71
SketchUp Pro,230,201805,53,31,124699,91
QuickBooks,109,201903,63,63,123132,49
SQL Server Reporting Services,148,201703,39,162,110263,61
MySQL,158,201802,50,585,109017,66
Marketo,129,201607,31,36,88166,56
TIG Welding,229,201810,58,300,138853,90
SQL Server Reporting Services,148,201504,16,291,96803,61
erwin,80,201404,4,9,33323,38
Online Analytical Processing,166,201606,30,103,98515,70
QuickBooks,109,201701,37,71,93237,49
VPN,241,201409,9,367,104405,95
Financial Industry Regulatory Authority,86,201406,6,5,32800,41
CICS,55,201602,26,56,87681,25
Selenium,205,201808,56,983,149917,85
Natural Language Processing,270,201512,24,20,70310,105
Deployment,69,201712,48,2962,76994,33
Security Testing and Auditing,204,201802,50,86,109017,84
NetSuite ERP,161,201503,15,7,102726,67
Web Security and Encryption,242,201402,2,9,27637,96
Cisco Application Centric Infrastructure,264,201709,45,0,114349,103
Switching and Routing,220,201403,3,38,32230,89
Solr,22,201810,58,16,138853,9
TIG Welding,229,201610,34,159,95676,90
Selenium,205,201505,17,363,88049,85
Computer Aided Design and Drafting,61,201809,57,83,114604,27
Visual Basic,238,201712,48,523,76994,93
Delphi Technology,68,201710,46,13,128582,32
Agile Development,14,201703,39,1650,110263,7
Stata,214,201804,52,0,119002,88
Switching and Routing,220,201808,56,148,149917,89
After Effects,5,201402,2,3,27637,3
Augmented Reality,30,201507,19,2,97791,11
Cisco Application Centric Infrastructure,264,201611,35,3,83334,103
AWS Cloud,34,201905,65,567,140823,14
T-SQL,232,201604,28,70,91296,92
MicroStrategy,153,201405,5,8,31909,63
EnterpriseOne,171,201709,45,2,114349,71
Certified Credit Professional,44,201710,46,20,128582,22
Dynamics,138,201505,17,3413,88049,58
Content Strategy,62,201511,23,129,89588,28
After Effects,5,201606,30,58,98515,3
Security Policies and Procedures,202,201705,41,103,119820,82
Delphi Technology,68,201511,23,8,89588,32
MySQL,158,201904,64,941,132847,66
MicroStrategy,153,201704,40,61,104890,63
SAP,198,201401,1,386,33846,80
Fireworks,8,201608,32,153,104211,5
AWS Cloud,34,201808,56,595,149917,14
Yardi,248,201601,25,2,88469,98
Spring Boot,211,201407,7,0,68567,87
Network Support,163,201704,40,149,104890,68
Business Intelligence,41,201803,51,762,121459,19
Security Risk Management,203,201401,1,3,33846,83
Financial Industry Regulatory Authority,86,201902,62,34,107087,41
Fireworks,8,201903,63,120,123132,5
Mergers and Acquisitions,135,201506,18,78,99253,57
Epic Systems,79,201410,10,218,106289,37
Deployment,69,201803,51,4244,121459,33
CATIA,42,201708,44,102,123189,20
ActionScript,4,201406,6,6,32800,2
Kubernetes,121,201411,11,0,77278,53
Selenium,205,201509,21,383,93766,85
Risk Analyst,192,201407,7,384,68567,76
Ruby,194,201811,59,440,111219,78
Augmented Reality,30,201608,32,2,104211,11
Linux Scripting,127,201607,31,44,88166,55
SPSS Statistics,105,201610,34,63,95676,47
SketchUp Pro,230,201812,60,4,82761,91
Certified Credit Professional,44,201602,26,8,87681,22
Top Secret Security Clearance,274,201409,9,1,104405,106
Linux  ,126,201711,47,2233,102152,54
Financial Industry Regulatory Authority,86,201402,2,16,27637,41
VPN,241,201809,57,590,114604,95
Risk and Compliance,193,201805,53,250,124699,77
Outlook,142,201412,12,2139,63051,59
The Raiser's Edge,37,201408,8,0,88809,17
MicroStrategy,153,201611,35,11,83334,63
Top Secret Security Clearance,274,201401,1,1,33846,106
External Auditor,83,201607,31,78,88166,39
InfoSphere DataStage,102,201608,32,170,104211,45
The Raiser's Edge,37,201406,6,3,32800,17
Internal Auditor,108,201412,12,4,63051,48
SPSS Statistics,105,201705,41,39,119820,47
External Auditor,83,201510,22,88,98076,39
Linux Scripting,127,201904,64,32,132847,55
JCL,113,201409,9,107,104405,50
Outlook,142,201503,15,3394,102726,59
Online Analytical Processing,166,201406,6,15,32800,70
EnterpriseOne,171,201603,27,1,100182,71
Sheet Metal Mechanic,206,201504,16,58,96803,86
Certified Financial Planner,45,201411,11,0,77278,23
Security Policies and Procedures,202,201510,22,109,98076,82
External Auditor,83,201703,39,74,110263,39
MySQL,158,201805,53,533,124699,66
Business Intelligence,41,201411,11,689,77278,19
PostgreSQL,182,201809,57,246,114604,73
Solr,22,201510,22,27,98076,9
Agile Development,14,201905,65,1090,140823,7
Online Analytical Processing,166,201509,21,105,93766,70
Augmented Reality,30,201504,16,2,96803,11
Web Security and Encryption,242,201505,17,24,88049,96
Chatbot,53,201808,56,7,149917,24
CATIA,42,201806,54,32,122500,20
MicroStrategy,153,201710,46,106,128582,63
Deployment,69,201408,8,3046,88809,33
AutoCAD,31,201901,61,536,122037,12
Cognos Impromptu,100,201611,35,0,83334,44
Security Testing and Auditing,204,201608,32,94,104211,84
Cost Accounting,63,201503,15,102,102726,29
PostgreSQL,182,201904,64,264,132847,73
Dodd-Frank,72,201505,17,101,88049,35
AWS Cloud,34,201408,8,147,88809,14
Secret Security Clearance,276,201604,28,32,91296,107
Security Risk Management,203,201902,62,7,107087,83
ActionScript,4,201601,25,32,88469,2
InfoSphere DataStage,102,201904,64,75,132847,45
XHTML,246,201611,35,25,83334,97
EnterpriseOne,171,201410,10,2,106289,71
Certified Financial Planner,45,201505,17,1,88049,23
Risk and Compliance,193,201803,51,218,121459,77
Network Support,163,201905,65,167,140823,68
SketchUp Pro,230,201505,17,13,88049,91
SQL Server,147,201608,32,978,104211,60
Minitab,156,201907,67,2,26524,65
Golang,91,201404,4,3,33323,43
PostgreSQL,182,201405,5,11,31909,73
Yardi,248,201812,60,5,82761,98
Ruby,194,201807,55,152,119017,78
Mastercam,58,201510,22,27,98076,26
Mastercam,58,201509,21,26,93766,26
Drupal,73,201902,62,77,107087,36
JCL,113,201812,60,34,82761,50
Stata,214,201712,48,15,76994,88
Security Risk Management,203,201510,22,11,98076,83
The Raiser's Edge,37,201810,58,1,138853,17
Certified Anti Money Laundering Specialist,43,201401,1,0,33846,21
AWS Cloud,34,201801,49,256,115683,14
ASP.NET,28,201407,7,534,68567,10
Stata,214,201711,47,1,102152,88
Pipe Welding,180,201703,39,98,110263,72
Fireworks,8,201705,41,19,119820,5
Security Policies and Procedures,202,201712,48,24,76994,82
XHTML,246,201406,6,15,32800,97
TIG Welding,229,201704,40,231,104890,90
T-SQL,232,201405,5,21,31909,92
Dynamics,138,201603,27,3690,100182,58
Drupal,73,201509,21,59,93766,36
The Raiser's Edge,37,201906,66,0,102962,17
JCL,113,201603,27,198,100182,50
Fireworks,8,201710,46,5,128582,5
SolidWorks,259,201405,5,113,31909,101
Drupal,73,201510,22,21,98076,36
Certified Financial Planner,45,201612,36,0,62773,23
SQL Server Reporting Services,148,201704,40,230,104890,61
XHTML,246,201905,65,40,140823,97
ActionScript,4,201901,61,2,122037,2
InfoSphere DataStage,102,201804,52,80,119002,45
Workforce Now,13,201511,23,6,89588,6
Natural Language Processing,270,201906,66,22,102962,105
CICS,55,201902,62,89,107087,25
Mastercam,58,201703,39,20,110263,26
Dreamweaver,7,201406,6,9,32800,4
End User Support,253,201408,8,293,88809,100
CATIA,42,201906,66,25,102962,20
Agile Development,14,201808,56,1077,149917,7
Agile Development,14,201805,53,1309,124699,7
Network Support,163,201410,10,107,106289,68
Computer Aided Design and Drafting,61,201710,46,69,128582,27
Computer Aided Design and Drafting,61,201703,39,65,110263,27
Risk Analyst,192,201509,21,433,93766,76
Cognos Impromptu,100,201805,53,0,124699,44
The Raiser's Edge,37,201606,30,0,98515,17
Delphi Technology,68,201805,53,6,124699,32
Certified Anti Money Laundering Specialist,43,201711,47,1,102152,21
MicroStrategy,153,201602,26,63,87681,63
External Auditor,83,201805,53,173,124699,39
Web Security and Encryption,242,201904,64,55,132847,96
Outlook,142,201611,35,2409,83334,59
Apache HTTP Server,20,201907,67,0,26524,8
MIG Welding,154,201409,9,448,104405,64
Pipe Welding,180,201505,17,91,88049,72
Microstation,36,201902,62,65,107087,16
Mergers and Acquisitions,135,201902,62,32,107087,57
Dreamweaver,7,201511,23,70,89588,4
Ruby,194,201502,14,241,89734,78
Natural Language Processing,270,201809,57,27,114604,105
Spring Boot,211,201506,18,0,99253,87
Django,71,201712,48,35,76994,34
PostgreSQL,182,201703,39,116,110263,73
VPN,241,201804,52,540,119002,95
NoSQL,165,201802,50,352,109017,69
Mastercam,58,201406,6,27,32800,26
Risk Analyst,192,201711,47,301,102152,76
Agile Development,14,201403,3,125,32230,7
Delphi Technology,68,201512,24,4,70310,32
FileMaker Pro,85,201811,59,2,111219,40
After Effects,5,201907,67,2,26524,3
SketchUp Pro,230,201503,15,30,102726,91
Ruby,194,201805,53,497,124699,78
AutoCAD,31,201801,49,724,115683,12
Selenium,205,201411,11,280,77278,85
SQL Server,147,201603,27,1679,100182,60
Blockchain,39,201506,18,0,99253,18
KornShell,120,201406,6,7,32800,52
VBScript,149,201609,33,127,95325,62
Golang,91,201902,62,8,107087,43
Deployment,69,201704,40,3781,104890,33
Django,71,201811,59,19,111219,34
Crystal Reports,65,201409,9,220,104405,30
MySQL,158,201612,36,257,62773,66
Secret Security Clearance,276,201901,61,40,122037,107
T-SQL,232,201901,61,156,122037,92
Azure,251,201710,46,715,128582,99
JCL,113,201604,28,285,91296,50
Network Support,163,201802,50,115,109017,68
Risk and Compliance,193,201401,1,9,33846,77
SketchUp Pro,230,201610,34,15,95676,91
Risk Analyst,192,201610,34,317,95676,76
erwin,80,201604,28,97,91296,38
Pipe Welding,180,201806,54,125,122500,72
Crystal Reports,65,201504,16,71,96803,30
Ruby,194,201510,22,474,98076,78
Cognos Impromptu,100,201603,27,9,100182,44
Cisco Application Centric Infrastructure,264,201401,1,0,33846,103
EnterpriseOne,171,201503,15,7,102726,71
Azure,251,201703,39,728,110263,99
NetSuite ERP,161,201410,10,31,106289,67
Marketo,129,201701,37,37,93237,56
Fireworks,8,201708,44,19,123189,5
QuickBooks,109,201604,28,46,91296,49
JCL,113,201709,45,631,114349,50
The Raiser's Edge,37,201805,53,1,124699,17
Augmented Reality,30,201803,51,4,121459,11
AEM Developer,266,201408,8,2,88809,104
EnterpriseOne,171,201508,20,1,94594,71
Selenium,205,201711,47,282,102152,85
AWS Cloud,34,201706,42,469,112365,14
GIS Software,89,201610,34,14,95676,42
Marketo,129,201710,46,25,128582,56
Junit,118,201609,33,551,95325,51
Cognos Impromptu,100,201607,31,0,88166,44
Blockchain,39,201705,41,3,119820,18
Junit,118,201512,24,146,70310,51
Top Secret Security Clearance,274,201510,22,0,98076,106
InfoSphere DataStage,102,201505,17,163,88049,45
VBScript,149,201511,23,243,89588,62
Outlook,142,201601,25,3313,88469,59
Bash,35,201508,20,171,94594,15
Linux  ,126,201503,15,2946,102726,54
SQL Server,147,201801,49,1438,115683,60
PostgreSQL,182,201705,41,140,119820,73
Computer Aided Design and Drafting,61,201907,67,7,26524,27
MySQL,158,201808,56,847,149917,66
Spring Boot,211,201702,38,64,92181,87
ActiveX,2,201702,38,0,92181,1
Kubernetes,121,201412,12,0,63051,53
AutoCAD,31,201410,10,500,106289,12
Augmented Reality,30,201512,24,0,70310,11
CATIA,42,201811,59,34,111219,20
NoSQL,165,201904,64,601,132847,69
Agile Development,14,201709,45,1153,114349,7
Augmented Reality,30,201601,25,3,88469,11
erwin,80,201703,39,35,110263,38
Pipe Welding,180,201609,33,77,95325,72
SPSS Statistics,105,201906,66,117,102962,47
Internal Auditor,108,201602,26,10,87681,48
End User Support,253,201804,52,326,119002,100
Solr,22,201601,25,69,88469,9
KornShell,120,201906,66,11,102962,52
Data Entry Software,66,201504,16,122,96803,31
The Raiser's Edge,37,201703,39,3,110263,17
Financial Industry Regulatory Authority,86,201701,37,73,93237,41
Switching and Routing,220,201405,5,56,31909,89
T-SQL,232,201401,1,30,33846,92
Revit,33,201610,34,116,95676,13
SPSS Statistics,105,201408,8,40,88809,47
AEM Developer,266,201902,62,99,107087,104
Epic Systems,79,201712,48,290,76994,37
Risk and Compliance,193,201409,9,161,104405,77
Marketo,129,201401,1,0,33846,56
ActionScript,4,201905,65,4,140823,2
After Effects,5,201702,38,40,92181,3
Network Support,163,201903,63,147,123132,68
Microstation,36,201706,42,70,112365,16
Kubernetes,121,201409,9,0,104405,53
Apache HTTP Server,20,201503,15,16,102726,8
Kubernetes,121,201905,65,381,140823,53
WildFly,190,201607,31,252,88166,75
Content Strategy,62,201401,1,4,33846,28
Revit,33,201512,24,183,70310,13
Minitab,156,201602,26,120,87681,65
Pipe Welding,180,201506,18,46,99253,72
MySQL,158,201511,23,436,89588,66
Ruby on Rails,195,201609,33,62,95325,79
erwin,80,201411,11,31,77278,38
TIG Welding,229,201507,19,231,97791,90
erwin,80,201807,55,66,119017,38
The Raiser's Edge,37,201407,7,2,68567,17
CICS,55,201608,32,146,104211,25
SQL Server Reporting Services,148,201901,61,418,122037,61
FileMaker Pro,85,201611,35,6,83334,40
GIS Software,89,201501,13,3,93237,42
Epic Systems,79,201902,62,372,107087,37
ActionScript,4,201407,7,28,68567,2
Stata,214,201801,49,0,115683,88
Natural Language Processing,270,201404,4,0,33323,105
Cost Accounting,63,201610,34,83,95676,29
MIG Welding,154,201711,47,472,102152,64
Spring Boot,211,201603,27,56,100182,87
Golang,91,201712,48,2,76994,43
Apache HTTP Server,20,201707,43,1,101309,8
VOIP,240,201903,63,336,123132,94
Dodd-Frank,72,201501,13,48,93237,35
Workforce Now,13,201907,67,14,26524,6
Sheet Metal Mechanic,206,201508,20,28,94594,86
SketchUp Pro,230,201811,59,13,111219,91
Computer Aided Design and Drafting,61,201702,38,106,92181,27
Web Security and Encryption,242,201903,63,35,123132,96
Risk and Compliance,193,201405,5,11,31909,77
Mastercam,58,201410,10,16,106289,26
Dreamweaver,7,201801,49,41,115683,4
Dynamics,138,201508,20,3978,94594,58
Chatbot,53,201802,50,5,109017,24
Drupal,73,201408,8,103,88809,36
Microstation,36,201707,43,45,101309,16
Dreamweaver,7,201412,12,105,63051,4
Mergers and Acquisitions,135,201608,32,15,104211,57
Chatbot,53,201601,25,0,88469,24
Yardi,248,201801,49,2,115683,98
Cost Accounting,63,201804,52,56,119002,29
AWS Cloud,34,201711,47,245,102152,14
Risk and Compliance,193,201710,46,106,128582,77
MIG Welding,154,201601,25,307,88469,64
Kubernetes,121,201510,22,3,98076,53
Certified Credit Professional,44,201801,49,15,115683,22
SAS,201,201604,28,319,91296,81
Top Secret Security Clearance,274,201609,33,28,95325,106
Risk Analyst,192,201410,10,406,106289,76
Ruby on Rails,195,201507,19,156,97791,79
SAP,198,201405,5,358,31909,80
External Auditor,83,201605,29,163,89037,39
Security Policies and Procedures,202,201401,1,18,33846,82
The Raiser's Edge,37,201806,54,0,122500,17
After Effects,5,201409,9,59,104405,3
Crystal Reports,65,201602,26,53,87681,30
Marketo,129,201708,44,10,123189,56
Mastercam,58,201705,41,17,119820,26
FileMaker Pro,85,201505,17,6,88049,40
CATIA,42,201904,64,43,132847,20
IBM Notes,103,201605,29,0,89037,46
Online Analytical Processing,166,201412,12,44,63051,70
Outlook,142,201508,20,3134,94594,59
JCL,113,201512,24,384,70310,50
Certified Anti Money Laundering Specialist,43,201709,45,0,114349,21
End User Support,253,201603,27,348,100182,100
Risk Analyst,192,201806,54,863,122500,76
Agile Development,14,201803,51,1252,121459,7
XHTML,246,201411,11,28,77278,97
